Scenario,Attribute,Process,Period,Region,Vintage,Timeslice,Pv
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_CO_US_NM,2020,CO,0,-,0.69
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_CA_US_OR,2020,OR,0,-,4.355881243
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_CA_US_OR,2020,CA,0,-,4.355881243
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_CA_US_NV,2020,NV,0,-,2.696740288526
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_CA_US_NV,2020,CA,0,-,2.696740288526
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_AZ_US_UT,2020,UT,0,-,0.1422724496
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_AZ_US_UT,2020,AZ,0,-,0.1422724496
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_AZ_US_NV,2020,NV,0,-,4.447
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_AZ_US_NV,2020,AZ,0,-,4.447
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_AZ_US_NM,2020,NM,0,-,6.959
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_AZ_US_NM,2020,AZ,0,-,6.959
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_AZ_US_CA,2020,CA,0,-,2.950407438
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_AZ_US_CA,2020,AZ,0,-,2.950407438
